"node","com_name","networktype"
"HOL_AAHO","CPM_K5_01",3
"HOL_KBMB","CPM_K5_01",3
"HOL_LKBB","CPM_K5_01",3
"HOL_LKSB","CPM_K5_01",3
"HOL_MBRU","CPM_K5_01",3
"HOL_MBUF","CPM_K5_01",3
"HOL_MRBR","CPM_K5_01",3
"HOL_PALZ","CPM_K5_01",3
"HOL_TRRB","CPM_K5_01",3
"HOL_TRRS","CPM_K5_01",3
"HORB3_Q1","CPM_K5_01",3
"SILL_Q2","CPM_K5_01",3
"VALK_Q2","CPM_K5_01",3
"VDM2W_Q1","CPM_K5_01",3
"VDMLR_Q1","CPM_K5_01",3
"VEN_Q1","CPM_K5_01",3
"VFH_Q2","CPM_K5_01",3
"VNW_Q1","CPM_K5_01",3
"VRW_Q1","CPM_K5_01",3
"1GDGem","CPM_K5_02",3
"VALK_Q1","CPM_K5_02",3
